Data,Period,Organisation unit,Value,Numerator,Denominator,Factor,Multiplier,Divisor
MAL - Confirmed malaria cases (micr + RDT),April 2024,Lao PDR,974.0,974.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,01 Vientiane Capital,28.0,28.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,02 Phongsali,38.0,38.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,03 Louangnamtha,2.0,2.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,05 Bokeo,51.0,51.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,06 Louangphabang,24.0,24.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,07 Houaphan,60.0,60.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,08 Xainyabouli,28.0,28.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,10 Vientiane,6.0,6.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,11 Bolikhamxai,31.0,31.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,13 Savannakhet,198.0,198.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,14 Salavan,110.0,110.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,15 Xekong,148.0,148.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,16 Champasak,182.0,182.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,17 Attapu,45.0,45.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),April 2024,18 Xaisomboun,23.0,23.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,Lao PDR,1156.0,1156.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,01 Vientiane Capital,21.0,21.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,02 Phongsali,43.0,43.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,03 Louangnamtha,4.0,4.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,04 Oudomxai,2.0,2.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,05 Bokeo,52.0,52.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,06 Louangphabang,29.0,29.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,07 Houaphan,36.0,36.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,08 Xainyabouli,28.0,28.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,10 Vientiane,16.0,16.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,11 Bolikhamxai,34.0,34.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,12 Khammouan,4.0,4.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,13 Savannakhet,201.0,201.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,14 Salavan,232.0,232.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,15 Xekong,144.0,144.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,16 Champasak,204.0,204.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,17 Attapu,74.0,74.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),May 2024,18 Xaisomboun,32.0,32.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,Lao PDR,1513.0,1513.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,01 Vientiane Capital,12.0,12.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,02 Phongsali,26.0,26.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,05 Bokeo,64.0,64.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,06 Louangphabang,32.0,32.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,07 Houaphan,60.0,60.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,08 Xainyabouli,42.0,42.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,10 Vientiane,19.0,19.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,11 Bolikhamxai,28.0,28.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,12 Khammouan,28.0,28.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,13 Savannakhet,308.0,308.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,14 Salavan,294.0,294.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,15 Xekong,179.0,179.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,16 Champasak,292.0,292.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,17 Attapu,98.0,98.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),June 2024,18 Xaisomboun,31.0,31.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,Lao PDR,1432.0,1432.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,01 Vientiane Capital,19.0,19.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,02 Phongsali,28.0,28.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,03 Louangnamtha,3.0,3.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,04 Oudomxai,2.0,2.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,05 Bokeo,64.0,64.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,06 Louangphabang,30.0,30.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,07 Houaphan,83.0,83.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,08 Xainyabouli,26.0,26.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,09 Xiangkhouang,3.0,3.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,10 Vientiane,9.0,9.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,11 Bolikhamxai,5.0,5.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,12 Khammouan,29.0,29.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,13 Savannakhet,386.0,386.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,14 Salavan,216.0,216.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,15 Xekong,206.0,206.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,16 Champasak,209.0,209.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,17 Attapu,73.0,73.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),July 2024,18 Xaisomboun,41.0,41.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,Lao PDR,1347.0,1347.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,01 Vientiane Capital,45.0,45.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,02 Phongsali,59.0,59.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,03 Louangnamtha,3.0,3.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,04 Oudomxai,7.0,7.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,05 Bokeo,8.0,8.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,06 Louangphabang,16.0,16.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,07 Houaphan,87.0,87.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,08 Xainyabouli,53.0,53.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,10 Vientiane,22.0,22.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,11 Bolikhamxai,1.0,1.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,12 Khammouan,10.0,10.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,13 Savannakhet,361.0,361.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,14 Salavan,183.0,183.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,15 Xekong,178.0,178.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,16 Champasak,194.0,194.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,17 Attapu,80.0,80.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),August 2024,18 Xaisomboun,40.0,40.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,Lao PDR,1262.0,1262.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,01 Vientiane Capital,41.0,41.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,02 Phongsali,40.0,40.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,03 Louangnamtha,2.0,2.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,04 Oudomxai,1.0,1.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,06 Louangphabang,14.0,14.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,07 Houaphan,74.0,74.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,08 Xainyabouli,26.0,26.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,10 Vientiane,12.0,12.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,12 Khammouan,19.0,19.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,13 Savannakhet,392.0,392.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,14 Salavan,168.0,168.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,15 Xekong,179.0,179.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,16 Champasak,188.0,188.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,17 Attapu,70.0,70.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),September 2024,18 Xaisomboun,36.0,36.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,Lao PDR,1029.0,1029.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,01 Vientiane Capital,16.0,16.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,02 Phongsali,41.0,41.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,04 Oudomxai,2.0,2.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,06 Louangphabang,9.0,9.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,07 Houaphan,53.0,53.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,08 Xainyabouli,31.0,31.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,10 Vientiane,25.0,25.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,11 Bolikhamxai,3.0,3.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,12 Khammouan,13.0,13.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,13 Savannakhet,358.0,358.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,14 Salavan,143.0,143.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,15 Xekong,138.0,138.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,16 Champasak,95.0,95.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,17 Attapu,58.0,58.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),October 2024,18 Xaisomboun,44.0,44.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,Lao PDR,1166.0,1166.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,01 Vientiane Capital,54.0,54.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,02 Phongsali,34.0,34.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,03 Louangnamtha,12.0,12.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,05 Bokeo,1.0,1.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,06 Louangphabang,16.0,16.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,07 Houaphan,66.0,66.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,08 Xainyabouli,57.0,57.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,10 Vientiane,20.0,20.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,11 Bolikhamxai,1.0,1.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,12 Khammouan,49.0,49.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,13 Savannakhet,433.0,433.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,14 Salavan,70.0,70.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,15 Xekong,134.0,134.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,16 Champasak,101.0,101.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,17 Attapu,79.0,79.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),November 2024,18 Xaisomboun,39.0,39.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,Lao PDR,1077.0,1077.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,01 Vientiane Capital,36.0,36.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,02 Phongsali,41.0,41.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,03 Louangnamtha,4.0,4.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,04 Oudomxai,16.0,16.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,06 Louangphabang,34.0,34.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,07 Houaphan,62.0,62.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,08 Xainyabouli,68.0,68.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,10 Vientiane,21.0,21.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,12 Khammouan,33.0,33.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,13 Savannakhet,271.0,271.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,14 Salavan,100.0,100.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,15 Xekong,146.0,146.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,16 Champasak,144.0,144.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,17 Attapu,56.0,56.0,1.0,1.0,1,1
MAL - Confirmed malaria cases (micr + RDT),December 2024,18 Xaisomboun,45.0,45.0,1.0,1.0,1,1
MAL - Confirmed malaria cases per 1000,January 2024,Lao PDR,2.39,969.0,4772837.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,01 Vientiane Capital,1.26,12.0,111850.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,02 Phongsali,1.05,16.0,178677.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,03 Louangnamtha,0.06,1.0,194338.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,06 Louangphabang,1.96,42.0,251737.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,07 Houaphan,1.8,92.0,603192.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,08 Xainyabouli,0.88,12.0,160504.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,10 Vientiane,1.43,13.0,107058.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,11 Bolikhamxai,1.32,35.0,312997.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,12 Khammouan,0.26,8.0,356501.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,13 Savannakhet,3.29,160.0,572374.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,14 Salavan,3.88,181.0,549066.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,15 Xekong,9.33,131.0,165261.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,16 Champasak,5.6,180.0,378308.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,17 Attapu,5.14,67.0,153524.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,January 2024,18 Xaisomboun,1.48,19.0,151485.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,February 2024,Lao PDR,2.21,839.0,4772837.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,February 2024,01 Vientiane Capital,1.58,14.0,111850.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,February 2024,02 Phongsali,1.83,26.0,178677.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,February 2024,06 Louangphabang,1.05,21.0,251737.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,February 2024,07 Houaphan,2.02,97.0,603192.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,February 2024,08 Xainyabouli,1.57,20.0,160504.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,February 2024,10 Vientiane,1.06,9.0,107058.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,February 2024,11 Bolikhamxai,1.21,30.0,312997.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,February 2024,12 Khammouan,0.07,2.0,356501.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,February 2024,13 Savannakhet,2.68,122.0,572374.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,February 2024,14 Salavan,2.5,109.0,549066.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,February 2024,15 Xekong,10.97,144.0,165261.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,February 2024,16 Champasak,5.49,165.0,378308.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,February 2024,17 Attapu,4.59,56.0,153524.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,February 2024,18 Xaisomboun,1.99,24.0,151485.0,12586.21,365000,29
MAL - Confirmed malaria cases per 1000,March 2024,Lao PDR,2.04,827.0,4772837.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,01 Vientiane Capital,2.53,24.0,111850.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,02 Phongsali,1.98,30.0,178677.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,04 Oudomxai,0.0,0.0,240830.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,05 Bokeo,3.0,50.0,196119.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,06 Louangphabang,0.89,19.0,251737.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,07 Houaphan,1.42,73.0,603192.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,08 Xainyabouli,1.25,17.0,160504.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,10 Vientiane,1.65,15.0,107058.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,11 Bolikhamxai,1.13,30.0,312997.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,12 Khammouan,0.17,5.0,356501.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,13 Savannakhet,3.21,156.0,572374.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,14 Salavan,1.84,86.0,549066.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,15 Xekong,7.05,99.0,165261.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,16 Champasak,5.14,165.0,378308.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,17 Attapu,2.91,38.0,153524.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,March 2024,18 Xaisomboun,1.55,20.0,151485.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,April 2024,Lao PDR,2.48,974.0,4772837.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,01 Vientiane Capital,3.05,28.0,111850.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,02 Phongsali,2.59,38.0,178677.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,03 Louangnamtha,0.13,2.0,194338.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,05 Bokeo,3.16,51.0,196119.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,06 Louangphabang,1.16,24.0,251737.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,07 Houaphan,1.21,60.0,603192.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,08 Xainyabouli,2.12,28.0,160504.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,10 Vientiane,0.68,6.0,107058.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,11 Bolikhamxai,1.21,31.0,312997.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,13 Savannakhet,4.21,198.0,572374.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,14 Salavan,2.44,110.0,549066.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,15 Xekong,10.9,148.0,165261.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,16 Champasak,5.85,182.0,378308.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,17 Attapu,3.57,45.0,153524.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,April 2024,18 Xaisomboun,1.85,23.0,151485.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,May 2024,Lao PDR,2.85,1156.0,4772837.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,01 Vientiane Capital,2.21,21.0,111850.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,02 Phongsali,2.83,43.0,178677.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,03 Louangnamtha,0.24,4.0,194338.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,04 Oudomxai,0.1,2.0,240830.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,05 Bokeo,3.12,52.0,196119.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,06 Louangphabang,1.36,29.0,251737.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,07 Houaphan,0.7,36.0,603192.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,08 Xainyabouli,2.05,28.0,160504.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,10 Vientiane,1.76,16.0,107058.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,11 Bolikhamxai,1.28,34.0,312997.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,12 Khammouan,0.13,4.0,356501.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,13 Savannakhet,4.13,201.0,572374.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,14 Salavan,4.98,232.0,549066.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,15 Xekong,10.26,144.0,165261.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,16 Champasak,6.35,204.0,378308.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,17 Attapu,5.68,74.0,153524.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,May 2024,18 Xaisomboun,2.49,32.0,151485.0,11774.19,365000,31
MAL - Confirmed malaria cases per 1000,June 2024,Lao PDR,3.86,1513.0,4772837.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,01 Vientiane Capital,1.31,12.0,111850.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,02 Phongsali,1.77,26.0,178677.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,05 Bokeo,3.97,64.0,196119.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,06 Louangphabang,1.55,32.0,251737.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,07 Houaphan,1.21,60.0,603192.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,08 Xainyabouli,3.18,42.0,160504.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,10 Vientiane,2.16,19.0,107058.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,11 Bolikhamxai,1.09,28.0,312997.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,12 Khammouan,0.96,28.0,356501.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,13 Savannakhet,6.55,308.0,572374.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,14 Salavan,6.51,294.0,549066.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,15 Xekong,13.18,179.0,165261.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,16 Champasak,9.39,292.0,378308.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,17 Attapu,7.77,98.0,153524.0,12166.67,365000,30
MAL - Confirmed malaria cases per 1000,June 2024,18 Xaisomboun,2.49,31.0,151485.0,12166.67,365000,30
